Index,SPX,SBW
9/26/17,7.21E-05,-0.005056894
9/27/17,0.004076842,-0.005197353
9/28/17,0.001203883,0.000992706
9/29/17,0.003698244,0.001966723
10/3/17,0.002156527,-0.000224836
10/4/17,0.001245978,0.000734213
10/5/17,0.005630873,-0.002190036
10/6/17,-0.001074215,-0.001113518
10/10/17,0.002319754,0.004498233
10/11/17,0.001801845,0.000103647
10/12/17,-0.001688154,0.001012389
10/13/17,0.000877726,0.002983445
10/17/17,0.000672269,-0.002283815
10/18/17,0.000742098,-0.001987169
10/19/17,0.00032791,0.004096307
10/20/17,0.005103849,-0.006897298
10/24/17,0.001616639,-0.001959518
10/25/17,-0.004673963,0.001238639
10/26/17,0.001270139,-0.003458604
10/27/17,0.008040545,-0.002263523
10/31/17,0.00094404,0.000679463
11/1/17,0.001590806,-0.001691546
11/2/17,0.000189952,0.002708647
11/3/17,0.003092293,-0.002549408
11/7/17,-0.000189125,0.001205955
11/8/17,0.001442618,0.000793023
11/9/17,-0.003769072,-0.001249134
11/10/17,-0.000898021,-0.000182652
11/14/17,-0.002312292,0.003396403
11/15/17,-0.005540999,0.003687044
11/16/17,0.00816274,-0.00071346
11/17/17,-0.002629496,0.0017603
11/21/17,0.006519786,0.000451008
11/22/17,-0.000750562,0.004639137
11/28/17,0.009800287,-0.00268879
11/29/17,-0.000369305,-0.002734196
11/30/17,0.008157583,0.002662198
12/1/17,-0.002026542,-0.000171953
12/5/17,-0.003746439,-6.23E-06
12/6/17,-0.000114094,0.000409069
12/7/17,0.002928082,-0.001719553
12/8/17,0.005491195,-0.002723474
12/12/17,0.00154768,-0.003771056
12/13/17,-0.000473065,0.002977589
12/14/17,-0.004079135,0.002240412
12/15/17,0.008934295,-0.000316535
12/19/17,-0.00323552,-0.005097172
12/20/17,-0.000828247,-0.000497424
12/21/17,0.001983662,-0.000703136
12/28/17,0.001832348,0.000847569
1/3/18,0.006378433,0.000252278
1/4/18,0.004020568,0.00125087
1/5/18,0.007009178,-0.00199009
1/9/18,0.001302055,-0.003464593
1/10/18,-0.001112825,0.002616692
1/11/18,0.007008997,0.001549054
1/12/18,0.006726951,0.004407402
1/17/18,0.009370957,0.000103196
1/18/18,-0.001617687,-0.00137957
1/19/18,0.004375641,-8.37E-05
1/23/18,0.002172036,0.003294216
1/24/18,-0.000560188,0.004544456
1/25/18,0.000602453,0.005079384
1/26/18,0.011771597,-0.003281427
1/30/18,-0.010958608,0.001449391
1/31/18,0.000488821,0.00199512
2/1/18,-0.000648271,-0.001245239
2/2/18,-0.021436645,-0.006103512
2/6/18,0.017290591,0.000385547
2/7/18,-0.005014145,-0.003017359
2/8/18,-0.038259085,-0.00259338
2/9/18,0.014825627,0.000982506
2/13/18,0.002609544,0.00418665
2/14/18,0.013313461,0.001899408
2/15/18,0.011996836,0.003887752
2/16/18,0.000373392,0.001372471
2/21/18,-0.00551169,-0.002160222
2/22/18,0.000973121,0.001729238
2/23/18,0.015901246,0.002060774
2/27/18,-0.012788287,-0.004194204
2/28/18,-0.011157824,0.001274706
3/1/18,-0.013413908,0.000355268
3/2/18,0.005058756,0.005603757
3/6/18,0.002635318,0.001516866
3/7/18,-0.000483967,0.000728255
3/8/18,0.004453177,-0.001435708
3/9/18,0.017229512,-0.00258946
3/13/18,-0.006383925,0.003183146
3/14/18,-0.005740942,0.001201531
3/15/18,-0.000782272,-0.000799484
3/16/18,0.001702023,-0.00164629
3/20/18,0.001480701,-0.003243295
3/21/18,-0.001845688,-0.000387249
3/22/18,-0.02548489,0.006789027
3/23/18,-0.021189833,0.003007101
3/27/18,-0.017427312,-0.001284942
3/28/18,-0.002920874,-0.001756453
3/29/18,0.013675733,-0.000959274
4/4/18,0.011500106,0.000995758
4/5/18,0.006839366,-0.006265203
4/6/18,-0.022164023,0.003298652
4/10/18,0.016588521,0.000518765
4/11/18,-0.005540619,0.003345036
4/12/18,0.00821688,-0.004555357
4/13/18,-0.002890822,6.96E-05
4/17/18,0.010605144,0.000597787
4/18/18,0.00083102,-0.000346936
4/19/18,-0.005742578,-0.003717096
4/20/18,-0.00857318,-0.005769089
4/24/18,-0.013470896,-0.001692341
4/25/18,0.001835433,-0.002741715
4/26/18,0.010380129,-0.000124293
4/27/18,0.001113016,0.001350268
5/1/18,0.002545802,-0.004697496
5/2/18,-0.007231903,-0.002119081
5/3/18,-0.00225624,0.002920552
5/4/18,0.012729832,-0.001299811
5/9/18,0.009635604,-0.000972015
5/10/18,0.009327001,0.001351685
5/11/18,0.001706175,0.002953095
5/15/18,-0.00686568,-0.008235297
5/16/18,0.004052336,-0.002827738
5/17/18,-0.00085621,-0.001957135
5/18/18,-0.002635698,0.000398245
5/22/18,-0.003140664,0.001635334
5/23/18,0.003243109,0.001304168
5/24/18,-0.002025252,0.004367732
5/25/18,-0.002360028,-0.00138824
